Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,female,45872,0.03%,female,AC159540.1,1.710394498,0.119443382,2320
brain,female,45872,0.03%,female,RP11-289H16.1,1.795754959,0.151628874,2794
brain,female,45872,0.00%,female,RP11-219A15.1,1.587466567,0.07309293,268
brain,female,45872,0.01%,female,LINC01609,1.906949066,0.193555042,1215
brain,female,45872,0.04%,female,PHYHIP,1.737828488,0.129787474,3478
brain,female,45872,0.01%,female,RP11-745L13.2,1.865770305,0.178028431,497
brain,male,5618,0.00%,male,SLC26A3,2.503750801,0.418581446,3
brain,male,5618,0.00%,male,RASGEF1B,2.507513076,0.420000026,191
brain,male,5618,,male,RP11-701H24.9,,,
brain,male,5618,0.00%,male,LINGO3,2.408804939,0.382781741,42
brain,male,5618,,male,PDE4DIP,,,
brain,male,5618,0.00%,male,AC159540.1,2.452612657,0.39929961,26
brain,male,5618,,male,RP11-289H16.1,,,
brain,male,5618,,male,RP11-219A15.1,,,
brain,male,5618,0.00%,male,LINC01609,2.519428492,0.424492779,4
brain,male,5618,0.00%,male,PHYHIP,2.440891709,0.394880182,129
brain,male,5618,0.00%,male,RP11-745L13.2,2.538173167,0.431560532,30
brain,female,5300,0.00%,female,SLC26A3,2.514759541,0.422732333,1
brain,female,5300,0.00%,female,RASGEF1B,2.396091104,0.37798794,203
brain,female,5300,,female,RP11-701H24.9,,,
brain,female,5300,0.00%,female,LINGO3,2.286312328,0.336595428,34
brain,female,5300,,female,PDE4DIP,,,
brain,female,5300,0.00%,female,AC159540.1,2.232232546,0.316204437,19
brain,female,5300,,female,RP11-289H16.1,,,
brain,female,5300,,female,RP11-219A15.1,,,
brain,female,5300,0.00%,female,LINC01609,2.09301548,0.263712104,5
brain,female,5300,0.00%,female,PHYHIP,2.43782689,0.39372458,156
brain,female,5300,0.00%,female,RP11-745L13.2,2.311640625,0.34614556,25
brain,male,15939,0.00%,male,SLC26A3,2.172221184,0.293576921,8
brain,male,15939,0.00%,male,RASGEF1B,2.210802113,0.308124009,165
brain,male,15939,,male,RP11-701H24.9,,,
brain,male,15939,0.00%,male,LINGO3,2.135623976,0.279777802,174
brain,male,15939,,male,PDE4DIP,,,
brain,male,15939,0.00%,male,AC159540.1,2.179073773,0.296160716,113
brain,male,15939,,male,RP11-289H16.1,,,
brain,male,15939,,male,RP11-219A15.1,,,
brain,male,15939,0.00%,male,LINC01609,2.146458712,0.283863081,11
brain,male,15939,0.00%,male,PHYHIP,2.238810512,0.318684684,350
brain,male,15939,0.00%,male,RP11-745L13.2,2.087136908,0.261495565,91
brain,female,15745,0.00%,female,SLC26A3,2.217020416,0.310468645,5
brain,female,15745,0.00%,female,RASGEF1B,2.153265844,0.286429737,158
brain,female,15745,,female,RP11-701H24.9,,,
brain,female,15745,0.00%,female,LINGO3,2.153324982,0.286452035,183
brain,female,15745,,female,PDE4DIP,,,
brain,female,15745,0.00%,female,AC159540.1,2.004145986,0.230203517,97
brain,female,15745,,female,RP11-289H16.1,,,
brain,female,15745,,female,RP11-219A15.1,,,
brain,female,15745,0.00%,female,LINC01609,2.047709738,0.246629398,7
brain,female,15745,0.01%,female,PHYHIP,2.161156696,0.289405013,598
brain,female,15745,0.00%,female,RP11-745L13.2,2.156571689,0.287676218,73
brain,male,10475,0.00%,male,SLC26A3,1.83315583,0.165731017,207
brain,male,10475,0.00%,male,RASGEF1B,1.626455116,0.087793713,40
brain,male,10475,0.03%,male,RP11-701H24.9,1.85542213,0.174126612,2786
brain,male,10475,0.00%,male,LINGO3,1.636515299,0.091586944,3
brain,male,10475,0.00%,male,PDE4DIP,1.514028952,0.045402993,284
brain,male,10475,0.00%,male,AC159540.1,1.793540955,0.150794075,2
brain,male,10475,,male,RP11-289H16.1,,,
brain,male,10475,,male,RP11-219A15.1,,,
brain,male,10475,,male,LINC01609,,,
brain,male,10475,0.00%,male,PHYHIP,1.636038333,0.091407102,392
brain,male,10475,,male,RP11-745L13.2,,,
brain,female,4463,0.00%,female,SLC26A3,1.604427044,0.079487944,26
brain,female,4463,0.00%,female,RASGEF1B,1.55303688,0.060111084,10
brain,female,4463,0.01%,female,RP11-701H24.9,1.968757612,0.216860194,866
brain,female,4463,0.00%,female,LINGO3,1.399959087,0.002392509,1
brain,female,4463,0.00%,female,PDE4DIP,1.531777322,0.052095085,222
brain,female,4463,0.00%,female,AC159540.1,1.508830547,0.043442915,4
brain,female,4463,,female,RP11-289H16.1,,,
brain,female,4463,,female,RP11-219A15.1,,,
brain,female,4463,,female,LINC01609,,,
brain,female,4463,0.00%,female,PHYHIP,1.646499985,0.095351709,217
brain,female,4463,,female,RP11-745L13.2,,,
brain,male,4616,0.00%,male,SLC26A3,1.917975272,0.197712516,62
brain,male,4616,0.00%,male,RASGEF1B,1.872992691,0.18075166,294
brain,male,4616,,male,RP11-701H24.9,,,
brain,male,4616,0.00%,male,LINGO3,1.615265369,0.083574576,4
brain,male,4616,0.01%,male,PDE4DIP,1.949111802,0.209452665,1340
brain,male,4616,0.00%,male,AC159540.1,1.676433404,0.10663822,3
brain,male,4616,0.00%,male,RP11-289H16.1,1.91752708,0.197543523,4
brain,male,4616,,male,RP11-219A15.1,,,
brain,male,4616,0.00%,male,LINC01609,1.92470714,0.200250793,7
brain,male,4616,0.00%,male,PHYHIP,1.865438783,0.17790343,255
brain,male,4616,,male,RP11-745L13.2,,,
brain,female,2031,0.00%,female,SLC26A3,1.742545366,0.131565991,16
brain,female,2031,0.00%,female,RASGEF1B,1.883640468,0.184766445,107
brain,female,2031,,female,RP11-701H24.9,,,
brain,female,2031,0.00%,female,LINGO3,2.464082003,0.403624172,1
brain,female,2031,0.00%,female,PDE4DIP,1.889659162,0.187035817,387
brain,female,2031,0.00%,female,AC159540.1,1.457282066,0.02400636,2
brain,female,2031,0.00%,female,RP11-289H16.1,2.020815849,0.236488954,3
brain,female,2031,,female,RP11-219A15.1,,,
brain,female,2031,0.00%,female,LINC01609,1.83774821,0.167462592,6
brain,female,2031,0.00%,female,PHYHIP,1.890260506,0.187262556,80
brain,female,2031,0.00%,female,RP11-745L13.2,1.704461813,0.11720644,1
brain,male,1314565,1.10%,male,SLC26A3,2.261452736,0.327222023,100118
brain,male,1314565,1.78%,male,RASGEF1B,2.521487064,0.425268972,161955
brain,male,1314565,0.39%,male,RP11-701H24.9,1.897182743,0.189872612,35409
brain,male,1314565,0.04%,male,LINGO3,1.91507608,0.196619364,3324
brain,male,1314565,1.76%,male,PDE4DIP,1.949789105,0.209708045,160447
brain,male,1314565,0.14%,male,AC159540.1,1.890271738,0.187266791,12368
brain,male,1314565,0.09%,male,RP11-289H16.1,1.966004096,0.21582197,8640
brain,male,1314565,0.16%,male,RP11-219A15.1,1.896689297,0.189686557,14573
brain,male,1314565,0.23%,male,LINC01609,2.472461914,0.40678385,20804
brain,male,1314565,0.26%,male,PHYHIP,1.903736271,0.192343646,23900
brain,male,1314565,0.10%,male,RP11-745L13.2,1.90381504,0.192373346,9469
brain,female,428611,0.49%,female,SLC26A3,2.213483681,0.309135105,44776
brain,female,428611,0.79%,female,RASGEF1B,2.420620752,0.387236939,72242
brain,female,428611,0.17%,female,RP11-701H24.9,1.840284749,0.168419004,15129
brain,female,428611,0.02%,female,LINGO3,1.954486375,0.211479168,1680
brain,female,428611,0.94%,female,PDE4DIP,2.026687985,0.238703065,85879
brain,female,428611,0.07%,female,AC159540.1,1.844139932,0.169872615,6484
brain,female,428611,0.05%,female,RP11-289H16.1,1.820825295,0.161081741,4422
brain,female,428611,0.07%,female,RP11-219A15.1,1.835314741,0.166545043,6641
brain,female,428611,0.02%,female,LINC01609,1.910029385,0.194716488,1782
brain,female,428611,0.10%,female,PHYHIP,1.860952173,0.176211736,8998
brain,female,428611,0.05%,female,RP11-745L13.2,1.813155067,0.158189652,4690
brain,male,62474,0.07%,male,SLC26A3,1.792756433,0.150498268,6214
brain,male,62474,0.02%,male,RASGEF1B,1.983057448,0.222252002,1452
brain,male,62474,,male,RP11-701H24.9,,,
brain,male,62474,0.00%,male,LINGO3,1.6859754,0.110236067,167
brain,male,62474,0.17%,male,PDE4DIP,1.726442249,0.125494249,15430
brain,male,62474,0.00%,male,AC159540.1,1.566955566,0.065359178,152
brain,male,62474,0.00%,male,RP11-289H16.1,1.564376163,0.064386604,10
brain,male,62474,,male,RP11-219A15.1,,,
brain,male,62474,0.00%,male,LINC01609,1.576951126,0.069128042,29
brain,male,62474,0.01%,male,PHYHIP,1.650004135,0.096672962,620
brain,male,62474,0.00%,male,RP11-745L13.2,1.599509063,0.0776336,27
brain,female,44284,0.02%,female,SLC26A3,1.718715281,0.122580766,1540
brain,female,44284,0.01%,female,RASGEF1B,1.995079446,0.226784943,1035
brain,female,44284,,female,RP11-701H24.9,,,
brain,female,44284,0.00%,female,LINGO3,1.679317343,0.10772562,58
brain,female,44284,0.18%,female,PDE4DIP,1.783786495,0.147116118,16355
brain,female,44284,0.00%,female,AC159540.1,1.578324342,0.069645819,156
brain,female,44284,0.00%,female,RP11-289H16.1,1.558080673,0.062012865,7
brain,female,44284,,female,RP11-219A15.1,,,
brain,female,44284,0.00%,female,LINC01609,1.542367429,0.056088126,49
brain,female,44284,0.00%,female,PHYHIP,1.619878537,0.085313989,378
brain,female,44284,0.00%,female,RP11-745L13.2,1.548580394,0.058430748,17
brain,male,810592,0.65%,male,SLC26A3,2.220724579,0.311865314,58719
brain,male,810592,1.16%,male,RASGEF1B,2.368786941,0.3676928,105574
brain,male,810592,0.26%,male,RP11-701H24.9,1.903035602,0.192079456,23945
brain,male,810592,0.01%,male,LINGO3,1.775332877,0.143928649,1114
brain,male,810592,0.64%,male,PDE4DIP,1.873640996,0.180996106,58470
brain,male,810592,0.07%,male,AC159540.1,1.889972721,0.187154046,6050
brain,male,810592,0.04%,male,RP11-289H16.1,1.940916159,0.206362466,3778
brain,male,810592,0.12%,male,RP11-219A15.1,1.896138453,0.189478859,10547
brain,male,810592,0.12%,male,LINC01609,2.455059698,0.400222277,10917
brain,male,810592,0.14%,male,PHYHIP,1.883395393,0.184674039,13088
brain,male,810592,0.06%,male,RP11-745L13.2,1.875213823,0.181589146,5202
brain,female,183518,0.24%,female,SLC26A3,2.178424292,0.295915827,22240
brain,female,183518,0.37%,female,RASGEF1B,2.228390962,0.314755953,33763
brain,female,183518,0.10%,female,RP11-701H24.9,1.851220263,0.172542281,8646
brain,female,183518,0.01%,female,LINGO3,1.738883796,0.130185382,477
brain,female,183518,0.35%,female,PDE4DIP,1.948866234,0.209360073,32257
brain,female,183518,0.03%,female,AC159540.1,1.836107978,0.166844136,3016
brain,female,183518,0.02%,female,RP11-289H16.1,1.797590755,0.152321068,1626
brain,female,183518,0.05%,female,RP11-219A15.1,1.831792601,0.165217006,4446
brain,female,183518,0.01%,female,LINC01609,1.83593562,0.166779148,552
brain,female,183518,0.05%,female,PHYHIP,1.815241098,0.158976198,4285
brain,female,183518,0.02%,female,RP11-745L13.2,1.767896609,0.141124775,2151
brain,male,1240636,0.99%,male,SLC26A3,2.246321543,0.321516748,89754
brain,male,1240636,1.63%,male,RASGEF1B,2.487320155,0.412386207,148114
brain,male,1240636,0.37%,male,RP11-701H24.9,1.888723924,0.186683182,33622
brain,male,1240636,0.03%,male,LINGO3,1.946156657,0.208338416,2445
brain,male,1240636,1.69%,male,PDE4DIP,1.94741411,0.208812544,153569
brain,male,1240636,0.12%,male,AC159540.1,1.887853326,0.18635492,11007
brain,male,1240636,0.07%,male,RP11-289H16.1,1.921113489,0.198895793,6580
brain,male,1240636,0.15%,male,RP11-219A15.1,1.895062005,0.18907298,13531
brain,male,1240636,0.20%,male,LINC01609,2.451160101,0.398751919,18248
brain,male,1240636,0.23%,male,PHYHIP,1.884996223,0.185277638,21183
brain,male,1240636,0.09%,male,RP11-745L13.2,1.896435742,0.189590953,8494
brain,female,372200,0.45%,female,SLC26A3,2.207978671,0.307059419,40950
brain,female,372200,0.70%,female,RASGEF1B,2.423575428,0.388351011,64028
brain,female,372200,0.16%,female,RP11-701H24.9,1.836691371,0.167064107,14524
brain,female,372200,0.01%,female,LINGO3,1.971496582,0.217892933,1284
brain,female,372200,0.87%,female,PDE4DIP,2.029222988,0.239658898,79566
brain,female,372200,0.06%,female,AC159540.1,1.845132284,0.170246786,5589
brain,female,372200,0.03%,female,RP11-289H16.1,1.827083814,0.16344154,3113
brain,female,372200,0.07%,female,RP11-219A15.1,1.827918179,0.163756141,5940
brain,female,372200,0.02%,female,LINC01609,1.916891953,0.197304046,1610
brain,female,372200,0.09%,female,PHYHIP,1.851861864,0.1727842,7803
brain,female,372200,0.04%,female,RP11-745L13.2,1.813522845,0.158328324,4009
brain,male,411051,0.33%,male,SLC26A3,2.302084104,0.342542237,30414
brain,male,411051,0.44%,male,RASGEF1B,2.819665946,0.537698473,40044
brain,male,411051,0.11%,male,RP11-701H24.9,1.853310968,0.17333059,9677
brain,male,411051,0.01%,male,LINGO3,2.092794494,0.26362878,1229
brain,male,411051,1.04%,male,PDE4DIP,1.993681534,0.226257855,94710
brain,male,411051,0.03%,male,AC159540.1,1.928564615,0.201705269,3010
brain,male,411051,0.02%,male,RP11-289H16.1,1.938901744,0.205602923,1478
brain,male,411051,0.03%,male,RP11-219A15.1,1.899244659,0.190650066,2891
brain,male,411051,0.07%,male,LINC01609,2.484317674,0.41125411,6780
brain,male,411051,0.09%,male,PHYHIP,1.887085508,0.186065411,8036
brain,male,411051,0.03%,male,RP11-745L13.2,1.93418682,0.203825143,3108
brain,female,175715,0.20%,female,SLC26A3,2.253414745,0.324191267,17874
brain,female,175715,0.30%,female,RASGEF1B,2.657712224,0.476633196,27580
brain,female,175715,0.06%,female,RP11-701H24.9,1.815320701,0.159006213,5878
brain,female,175715,0.01%,female,LINGO3,2.115098574,0.27203862,729
brain,female,175715,0.52%,female,PDE4DIP,2.085062553,0.260713422,47110
brain,female,175715,0.02%,female,AC159540.1,1.87509961,0.181546082,1924
brain,female,175715,0.01%,female,RP11-289H16.1,1.81512482,0.158932355,792
brain,female,175715,0.02%,female,RP11-219A15.1,1.816054926,0.159283055,1476
brain,female,175715,0.01%,female,LINC01609,1.859804412,0.175778968,479
brain,female,175715,0.04%,female,PHYHIP,1.892554626,0.188127563,3470
brain,female,175715,0.02%,female,RP11-745L13.2,1.869823593,0.179556739,1718
brain,male,9161,0.00%,male,SLC26A3,2.014865175,0.234245229,49
brain,male,9161,0.00%,male,RASGEF1B,2.17046553,0.292914945,221
brain,male,9161,,male,RP11-701H24.9,,,
brain,male,9161,0.00%,male,LINGO3,1.566381772,0.065142827,6
brain,male,9161,0.01%,male,PDE4DIP,1.763311781,0.139396048,1337
brain,male,9161,0.00%,male,AC159540.1,1.687902222,0.110962582,25
brain,male,9161,0.00%,male,RP11-289H16.1,1.971737226,0.217983669,12
brain,male,9161,0.00%,male,RP11-219A15.1,1.555092573,0.06088619,1
brain,male,9161,0.00%,male,LINC01609,2.124449348,0.275564365,10
brain,male,9161,0.00%,male,PHYHIP,1.658755563,0.099972722,44
brain,male,9161,0.00%,male,RP11-745L13.2,1.801962313,0.153969381,23
brain,female,2433,0.00%,female,SLC26A3,1.797637548,0.152338712,39
brain,female,2433,0.00%,female,RASGEF1B,1.873719813,0.181025824,118
brain,female,2433,,female,RP11-701H24.9,,,
brain,female,2433,0.00%,female,LINGO3,2.167573081,0.291824336,9
brain,female,2433,0.01%,female,PDE4DIP,2.083939155,0.26028984,521
brain,female,2433,0.00%,female,AC159540.1,1.789078116,0.149111345,16
brain,female,2433,0.00%,female,RP11-289H16.1,1.695279717,0.113744296,16
brain,female,2433,0.00%,female,RP11-219A15.1,1.471615672,0.029410902,1
brain,female,2433,0.00%,female,LINC01609,1.795568961,0.151558743,27
brain,female,2433,0.00%,female,PHYHIP,2.034767151,0.241749346,9
brain,female,2433,0.00%,female,RP11-745L13.2,1.74123017,0.131070091,6
brain,female,328,0.00%,female,SLC26A3,1.900000254,0.190934966,3
brain,female,328,0.00%,female,RASGEF1B,1.634210944,0.090718078,1
brain,female,328,,female,RP11-701H24.9,,,
brain,female,328,,female,LINGO3,,,
brain,female,328,0.00%,female,PDE4DIP,1.65785147,0.09963183,19
brain,female,328,0.00%,female,AC159540.1,1.667384863,0.103226433,16
brain,female,328,0.00%,female,RP11-289H16.1,1.585395098,0.072311875,8
brain,female,328,,female,RP11-219A15.1,,,
brain,female,328,0.00%,female,LINC01609,1.74093461,0.13095865,4
brain,female,328,,female,PHYHIP,,,
brain,female,328,0.00%,female,RP11-745L13.2,1.482965946,0.033690567,1
brain,male,9870,0.09%,male,SLC26A3,2.923214217,0.576741749,8100
brain,male,9870,0.11%,male,RASGEF1B,3.952872261,0.964978299,9768
brain,male,9870,0.01%,male,RP11-701H24.9,2.02640651,0.238596934,1279
brain,male,9870,0.00%,male,LINGO3,2.248353243,0.322282808,8
brain,male,9870,0.06%,male,PDE4DIP,2.467567259,0.404938301,5788
brain,male,9870,0.01%,male,AC159540.1,2.070831299,0.255347472,828
brain,male,9870,0.01%,male,RP11-289H16.1,2.035724302,0.242110243,733
brain,male,9870,0.01%,male,RP11-219A15.1,2.008560384,0.231867983,900
brain,male,9870,0.07%,male,LINC01609,2.537367585,0.431256784,6195
brain,male,9870,0.01%,male,PHYHIP,2.248880497,0.322481611,813
brain,male,9870,0.01%,male,RP11-745L13.2,2.008949821,0.232014822,1057
brain,male,68523,0.11%,male,SLC26A3,2.392704261,0.376710918,10359
brain,male,68523,0.15%,male,RASGEF1B,2.90256222,0.568954834,13410
brain,male,68523,0.02%,male,RP11-701H24.9,2.056334185,0.24988128,1787
brain,male,68523,0.01%,male,LINGO3,1.81716377,0.159701149,856
brain,male,68523,0.07%,male,PDE4DIP,1.997847535,0.227828662,6643
brain,male,68523,0.01%,male,AC159540.1,1.906976635,0.193565437,1350
brain,male,68523,0.02%,male,RP11-289H16.1,2.109392066,0.269886959,2060
brain,male,68523,0.01%,male,RP11-219A15.1,1.917821375,0.197654489,1042
brain,male,68523,0.03%,male,LINC01609,2.624902306,0.464262089,2554
brain,male,68523,0.03%,male,PHYHIP,2.0468605,0.24630919,2694
brain,male,68523,0.01%,male,RP11-745L13.2,1.961394501,0.214083904,960
brain,female,46171,0.04%,female,SLC26A3,2.272911698,0.331542669,3813
brain,female,46171,0.08%,female,RASGEF1B,2.404811944,0.381276167,7364
brain,female,46171,0.01%,female,RP11-701H24.9,1.926550394,0.200945799,605
brain,female,46171,0.00%,female,LINGO3,1.875852279,0.181829879,331
brain,female,46171,0.05%,female,PDE4DIP,1.967812508,0.216503839,4749
brain,female,46171,0.01%,female,AC159540.1,1.827760481,0.16369668,866
brain,female,46171,0.01%,female,RP11-289H16.1,1.805941775,0.155469852,1309
brain,female,46171,0.01%,female,RP11-219A15.1,1.897989967,0.190176979,701
brain,female,46171,0.00%,female,LINC01609,1.824303188,0.162393094,163
brain,female,46171,0.01%,female,PHYHIP,1.899029356,0.190568885,1122
brain,female,46171,0.01%,female,RP11-745L13.2,1.7992003,0.152927953,655
brain,male,4229,0.04%,male,SLC26A3,2.991103173,0.602339543,3217
brain,male,4229,0.05%,male,RASGEF1B,4.045754749,1,4139
brain,male,4229,0.00%,male,RP11-701H24.9,2.218651994,0.311083837,227
brain,male,4229,0.00%,male,LINGO3,1.999860191,0.228587542,5
brain,male,4229,0.01%,male,PDE4DIP,2.297789674,0.340923006,787
brain,male,4229,0.00%,male,AC159540.1,2.233330776,0.316618529,350
brain,male,4229,0.01%,male,RP11-289H16.1,2.395521876,0.377773311,1111
brain,male,4229,0.00%,male,RP11-219A15.1,2.210439609,0.307987326,235
brain,male,4229,0.03%,male,LINC01609,2.667295495,0.480246605,2418
brain,male,4229,0.00%,male,PHYHIP,2.298037062,0.341016284,306
brain,male,4229,0.00%,male,RP11-745L13.2,2.233898643,0.316832645,302
brain,male,16598,0.00%,male,SLC26A3,2.374214172,0.369739158,15
brain,male,16598,0.03%,male,RASGEF1B,2.495009206,0.415285393,2790
brain,male,16598,0.00%,male,RP11-701H24.9,2.082962036,0.259921414,4
brain,male,16598,0.00%,male,LINGO3,2.186989997,0.299145559,85
brain,male,16598,0.00%,male,PDE4DIP,1.618352051,0.084738421,25
brain,male,16598,0.00%,male,AC159540.1,2.199733019,0.303950365,128
brain,male,16598,0.00%,male,RP11-289H16.1,1.639531771,0.092724317,6
brain,male,16598,0.00%,male,RP11-219A15.1,1.878431201,0.182802271,4
brain,male,16598,0.00%,male,LINC01609,2.237770081,0.318292386,6
brain,male,16598,0.00%,male,PHYHIP,2.262294191,0.327539297,66
brain,male,16598,0.00%,male,RP11-745L13.2,2.215107844,0.309747502,78
brain,female,13617,0.00%,female,SLC26A3,1.999782435,0.228558223,15
brain,female,13617,0.03%,female,RASGEF1B,2.422521638,0.387953675,2624
brain,female,13617,0.00%,female,RP11-701H24.9,1.999181747,0.228331732,5
brain,female,13617,0.00%,female,LINGO3,2.092124939,0.263376322,47
brain,female,13617,0.00%,female,PDE4DIP,1.765026569,0.140042616,16
brain,female,13617,0.00%,female,AC159540.1,2.114727862,0.271898841,77
brain,female,13617,0.00%,female,RP11-289H16.1,1.525712132,0.049808182,1
brain,female,13617,0.00%,female,RP11-219A15.1,2.432496643,0.39171479,5
brain,female,13617,0.00%,female,LINC01609,2.023634529,0.237551748,10
brain,female,13617,0.00%,female,PHYHIP,2.104205976,0.267931523,70
brain,female,13617,0.00%,female,RP11-745L13.2,2.123413086,0.275173639,63
brain,male,383,0.00%,male,SLC26A3,2.277849197,0.333404372,6
brain,male,383,0.00%,male,RASGEF1B,2.160749817,0.289251597,50
brain,male,383,0.00%,male,RP11-701H24.9,2.082962036,0.259921414,4
brain,male,383,0.00%,male,LINGO3,1.631515384,0.089701707,8
brain,male,383,0.00%,male,PDE4DIP,1.618352051,0.084738421,25
brain,male,383,0.00%,male,AC159540.1,1.760579467,0.138365819,32
brain,male,383,0.00%,male,RP11-289H16.1,1.639531771,0.092724317,6
brain,male,383,0.00%,male,RP11-219A15.1,1.878431201,0.182802271,4
brain,male,383,,male,LINC01609,,,
brain,male,383,0.00%,male,PHYHIP,1.436227798,0.016067767,2
brain,male,383,0.00%,male,RP11-745L13.2,1.681104422,0.108399445,2
brain,female,157,0.00%,female,SLC26A3,2.012358938,0.233300242,14
brain,female,157,0.00%,female,RASGEF1B,2.2454022,0.321170106,42
brain,female,157,0.00%,female,RP11-701H24.9,1.999181747,0.228331732,5
brain,female,157,,female,LINGO3,,,
brain,female,157,0.00%,female,PDE4DIP,1.765026569,0.140042616,16
brain,female,157,0.00%,female,AC159540.1,1.587195533,0.072990735,7
brain,female,157,0.00%,female,RP11-289H16.1,1.525712132,0.049808182,1
brain,female,157,0.00%,female,RP11-219A15.1,2.432496643,0.39171479,5
brain,female,157,,female,LINC01609,,,
brain,female,157,0.00%,female,PHYHIP,1.527780294,0.05058799,1
brain,female,157,,female,RP11-745L13.2,,,
brain,female,1758,0.00%,female,SLC26A3,1.853279114,0.173318579,102
brain,female,1758,0.00%,female,RASGEF1B,1.605778376,0.079997469,60
brain,female,1758,,female,RP11-701H24.9,,,
brain,female,1758,0.00%,female,LINGO3,1.70205089,0.116297392,7
brain,female,1758,0.00%,female,PDE4DIP,1.598590557,0.077287274,39
brain,female,1758,0.00%,female,AC159540.1,1.553131358,0.060146707,15
brain,female,1758,0.00%,female,RP11-289H16.1,1.508262316,0.043228661,3
brain,female,1758,,female,RP11-219A15.1,,,
brain,female,1758,0.00%,female,LINC01609,1.52095143,0.04801314,3
brain,female,1758,0.00%,female,PHYHIP,1.683843568,0.109432251,43
brain,female,1758,0.00%,female,RP11-745L13.2,1.659447312,0.100233549,4
brain,male,1702,0.00%,male,SLC26A3,1.862372713,0.176747356,227
brain,male,1702,0.00%,male,RASGEF1B,1.620619358,0.085593318,39
brain,male,1702,,male,RP11-701H24.9,,,
brain,male,1702,0.00%,male,LINGO3,1.70612812,0.117834728,4
brain,male,1702,0.00%,male,PDE4DIP,1.629961474,0.089115799,29
brain,male,1702,0.00%,male,AC159540.1,1.51603181,0.046158179,7
brain,male,1702,0.00%,male,RP11-289H16.1,1.49322834,0.037560042,5
brain,male,1702,,male,RP11-219A15.1,,,
brain,male,1702,0.00%,male,LINC01609,1.610047579,0.081607188,4
brain,male,1702,0.00%,male,PHYHIP,1.633736215,0.09053908,41
brain,male,1702,0.00%,male,RP11-745L13.2,1.541394615,0.055721322,5
brain,male,157907,0.12%,male,SLC26A3,2.373121988,0.369327346,10687
brain,male,157907,0.20%,male,RASGEF1B,2.614199409,0.460226521,18460
brain,male,157907,0.02%,male,RP11-701H24.9,2.056006077,0.249757565,1791
brain,male,157907,0.01%,male,LINGO3,1.814182057,0.158576883,952
brain,male,157907,0.10%,male,PDE4DIP,1.929934723,0.202221873,9109
brain,male,157907,0.02%,male,AC159540.1,1.871012169,0.180004896,1619
brain,male,157907,0.02%,male,RP11-289H16.1,2.109538865,0.26994231,2062
brain,male,157907,0.01%,male,RP11-219A15.1,1.917821375,0.197654489,1042
brain,male,157907,0.03%,male,LINC01609,2.598730024,0.454393729,2637
brain,male,157907,0.04%,male,PHYHIP,1.980236985,0.221188536,3413
brain,male,157907,0.02%,male,RP11-745L13.2,1.894600712,0.188899048,1789
brain,female,46653,0.04%,female,SLC26A3,2.27102603,0.33083167,3833
brain,female,46653,0.08%,female,RASGEF1B,2.40487222,0.381298894,7431
brain,female,46653,0.01%,female,RP11-701H24.9,1.926550394,0.200945799,605
brain,female,46653,0.00%,female,LINGO3,1.875852279,0.181829879,331
brain,female,46653,0.05%,female,PDE4DIP,1.968307042,0.216690305,4848
brain,female,46653,0.01%,female,AC159540.1,1.832917739,0.165641244,908
brain,female,46653,0.01%,female,RP11-289H16.1,1.805965681,0.155478866,1321
brain,female,46653,0.01%,female,RP11-219A15.1,1.897183945,0.189873066,706
brain,female,46653,0.00%,female,LINC01609,1.827672752,0.163663601,166
brain,female,46653,0.01%,female,PHYHIP,1.898797298,0.190481387,1123
brain,female,46653,0.01%,female,RP11-745L13.2,1.79817857,0.152542706,657
brain,female,414,0.00%,female,SLC26A3,1.827388763,0.163556522,15
brain,female,414,0.00%,female,RASGEF1B,2.464367619,0.403731864,54
brain,female,414,,female,RP11-701H24.9,,,
brain,female,414,,female,LINGO3,,,
brain,female,414,0.00%,female,PDE4DIP,1.99788471,0.227842679,94
brain,female,414,0.00%,female,AC159540.1,1.944460487,0.207698869,40
brain,female,414,0.00%,female,RP11-289H16.1,1.808575312,0.156462838,12
brain,female,414,0.00%,female,RP11-219A15.1,1.62359786,0.086716374,4
brain,female,414,0.00%,female,LINC01609,1.85714221,0.174775175,1
brain,female,414,0.00%,female,PHYHIP,1.638541579,0.092350961,1
brain,female,414,0.00%,female,RP11-745L13.2,1.429019332,0.013349787,1
brain,male,136,0.00%,male,SLC26A3,2.629729271,0.466082115,1
brain,male,136,0.00%,male,RASGEF1B,2.056663831,0.250005574,6
brain,male,136,,male,RP11-701H24.9,,,
brain,male,136,0.00%,male,LINGO3,1.477200031,0.031516506,1
brain,male,136,0.00%,male,PDE4DIP,1.93775718,0.205171361,55
brain,male,136,0.00%,male,AC159540.1,2.015163183,0.234357594,1
brain,male,136,0.00%,male,RP11-289H16.1,2.732275486,0.504747562,1
brain,male,136,,male,RP11-219A15.1,,,
brain,male,136,,male,LINC01609,,,
brain,male,136,,male,PHYHIP,,,
brain,male,136,,male,RP11-745L13.2,,,
brain,female,3209,0.00%,female,SLC26A3,1.890615781,0.187396514,24
brain,female,3209,0.00%,female,RASGEF1B,1.998535156,0.228087932,111
brain,female,3209,,female,RP11-701H24.9,,,
brain,female,3209,0.00%,female,LINGO3,2.198335171,0.3034233,6
